Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,league_tag,season_tag,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_CS,Performance_CS%,Penalty Kicks_Save%
1,Patrick van Aanholt,nl NED,DF,PSV,32,1990,24,9,1114,12.4,1,1,2,1,0,0,0,0,0.08,0.08,0.16,0.08,0.16,Matches,Eredivisie,2023-24,26,9,34.6,2.10,0.73,0.04,0.11,,,,,,,,
2,Paxten Aaronson,us USA,MF,Vitesse,19,2003,14,14,1253,13.9,4,0,4,4,0,0,4,0,0.29,0.00,0.29,0.29,0.29,Matches,Eredivisie,2023-24,38,15,39.5,2.73,1.08,0.11,0.27,,,,,,,,
3,Jayden Addai,nl NED,"MF,FW",AZ Alkmaar,17,2005,8,2,297,3.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Eredivisie,2023-24,7,0,0.0,2.12,0.00,0.00,,,,,,,,,
4,Bobby Adekanye,nl NED,MF,Go Ahead Eagles,24,1999,28,23,1804,20.0,0,5,5,0,0,0,4,1,0.00,0.25,0.25,0.00,0.25,Matches,Eredivisie,2023-24,40,11,27.5,2.00,0.55,0.00,0.00,,,,,,,,
5,Shawn Adewoye,be BEL,DF,RKC Waalwijk,23,2000,29,26,2338,26.0,1,0,1,1,0,0,1,1,0.04,0.00,0.04,0.04,0.04,Matches,Eredivisie,2023-24,15,4,26.7,0.58,0.15,0.07,0.25,,,,,,,,
6,Nikolas Agrafiotis,nl NED,FW,Excelsior,23,2000,18,10,758,8.4,5,2,7,5,0,0,0,0,0.59,0.24,0.83,0.59,0.83,Matches,Eredivisie,2023-24,29,13,44.8,3.44,1.54,0.17,0.38,,,,,,,,
7,Chuba Akpom,eng ENG,"FW,MF",Ajax,27,1995,25,8,1049,11.7,11,3,14,11,0,0,0,0,0.94,0.26,1.20,0.94,1.20,Matches,Eredivisie,2023-24,41,21,51.2,3.52,1.80,0.27,0.52,,,,,,,,
8,Hamdi Akujobi,nl NED,"DF,MF",Almere City,23,2000,23,16,1557,17.3,0,2,2,0,0,0,4,0,0.00,0.12,0.12,0.00,0.12,Matches,Eredivisie,2023-24,14,0,0.0,0.81,0.00,0.00,,,,,,,,,
9,Hussein Ali,iq IRQ,"DF,MF",Heerenveen,21,2002,15,8,699,7.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Eredivisie,2023-24,6,1,16.7,0.77,0.13,0.00,0.00,,,,,,,,
10,Jordi Altena,nl NED,DF,Vitesse,19,2003,2,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Eredivisie,2023-24,0,0,,0.00,0.00,,,,,,,,,,
